序号,提交答卷时间,所用时间,1、您目前就读于北京邮电大学吗？,2、您目前就读于北京邮电大学的哪个校区？,3、您曾经使用过北京邮电大学的“e键订餐”服务吗？,4、您为什么不使用“e键订餐”服务？(不知道如何使用),4、(习惯在食堂用餐),4、(在食堂不用支付打包费，更实惠),4、(觉得“e键订餐”的服务不够好（出餐时间、配送效率等）),4、(担心使用“e键订餐”服务的餐被他人拿走),4、(其他：),5、您为什么使用“e键订餐”服务？(不想在食堂排队),5、(喜欢在宿舍用餐),5、(时间紧张，来不及去食堂),5、(其他：),6、您使用“e键订餐”的频率大概是怎样的？请选择最接近的选项。,7、您日常通过“e键订餐”单次点餐的金额大概是什么范围？,8、您遭遇过丢餐（在页面上显示已送达，却无法找到自己的餐）的现象吗？,9、您大概丢过几次餐？,10、您在丢餐后的感受是怎样的？(没什么感觉),10、(悲伤),10、(委屈),10、(疑惑),10、(愤怒),10、(其他：),11、您觉得丢餐这件事对您来说怎么样？,12、您希望丢餐问题得到解决吗？,13、您对解决丢餐问题的期望有多迫切？,14、您在丢餐后一般会采取什么行动？(什么也不做，这顿不吃了),14、(自认倒霉，重新点一份),14、(拨打食堂/配送员电话，说明情况),14、(向宿舍管理员反馈),14、(去保卫处申请调查（如调用监控等）),14、(在社交媒体上表达情绪),14、(其他：),15、您为什么不寻求食堂/配送员或保卫处进行进一步反馈？(一顿饭而已，我不在乎),15、(没时间计较),15、(进一步反馈太麻烦了),15、(觉得反馈了也没有作用),15、(准备动用私人力量解决),15、(其他),16、您认为进一步反馈的哪些步骤比较麻烦？(食堂方：给食堂打电话),16、(食堂方：等待重新做一份饭及配送),16、(保卫处方：申请调用监控),16、(保卫处方：协助其调查),16、(其他：),17、您在拨打食堂/配送员电话后，得到过什么处理？(食堂/配送员提供相应的补偿（如重做一份，或第二天免费配送等）),17、(食堂/配送员表示丢餐不属于其责任范围),17、(食堂/配送员未做处理),17、(其他：),18、您在保卫处申请调查后，得到过什么处理？(找到了拿餐者，得到了满意的处理),18、(找到了拿餐者，但对处理结果不太满意),18、(由于监控死角，未找到拿餐者),18、(由于人员过多或不确定餐食初始位置，未找到拿餐者),18、(其他：),19、您相信部分拿餐者是因为看错信息，误拿了他人的餐吗？,20、您有因为看错信息，误拿过他人的餐吗？,21、您是因为什么原因拿错过餐？(看到小票上相同的姓氏就拿了),21、(看到相同的饭，以为是自己的),21、(其他：),22、您拿错餐并发现后采取了什么行动？(把饭再放回去),22、(干脆吃掉了),22、(顺着小票上的信息找到失主，进行道歉),22、(在社交软件上匿名道歉),22、(其他：),23、您愿意给”恶意拿餐者“机会吗？(我不愿意给机会，必须马上处理),23、(我觉得可以给一次机会，但是要记录在案),23、(其他：),24、您觉得应该如何处理“恶意拿餐者”？(不进行处理，仅要求恶意拿餐者进行道歉),24、(要求恶意拿餐者赔偿餐食金额),24、(要求恶意拿餐者撰写检讨书),24、(取消恶意拿餐者相关资格（保研资格、评优评先资格等）),24、(通报批评恶意拿餐者),24、(给予恶意拿餐者处分（警告、记过等）),24、(其他：),25、您认为目前的取餐方式是否有什么需要改进的地方？(没有需要改进的地方),25、(取餐不需要身份检验，安全性差),25、(餐食过多时，不便于查找),25、(高峰期取餐时过于拥挤),25、(其他：),26、您觉得可以怎样通过流程设计解决偷拿错拿的问题？（这是一个复杂的问题，您可以看看这些点子，尽管并不是所有的都具备很高的可行性。）(在楼下配置类似送餐柜的设施，刷卡取餐),26、(将餐食分拣到各楼层，减少错拿概率，也方便后续追踪),26、(给餐食分配不同颜色的标签，方便监控中进行追踪),26、(将餐食送至宿舍门口),26、(让宿舍管理员监督（如在取餐时随机抽查）),26、(安排学生义工，在用餐高峰期帮助分配),26、(使用类似快餐店的编号取餐制，用户展示取餐号，安排工作人员进行分配),26、(其他：),26、(我认为无法通过流程设计解决偷拿错拿的问题，必须采取惩罚措施),27、您目前居住在哪一栋宿舍楼？（如您不愿透露，请选择最后一项）,28、您对自己宿舍楼的“e键订餐”存餐点有什么针对性的建议吗？,29、您还有什么对于“e键订餐”的建议？（交互体验、配送效率、餐品包装……,30、您有什么对于问卷本身，或是本次调查的建议？（展示数据收集动态、应用的数据分析方法、组织形式、传播渠道……,31、您是在哪里得知这个问卷的？(社交软件的群聊),31、(QQ空间),31、(朋友圈),31、(校园墙),31、(BYR论坛),31、(贴吧),31、(微博),31、(小红书),31、(朋友通过社交软件私信),31、(朋友线下告知),31、(其他：),31、(线下海报),32、校验题：如何进入“e键订餐”服务？
1,2024/11/21 18:53:42,199秒,1,2,1,,,,,,,1,1,0,0,4,3,1,2,0,1,1,0,1,0,4,5,5,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,,,,,,1,2,,,,,,,,,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,17,(空),配送时有时会显示“开始配送”，而实际上餐品已到配送地点，有时“配送已完成”没有提示。,(空),0,0,1,0,0,0,0,0,0,0,0,0,6
2,2024/11/21 18:55:45,124秒,1,2,1,,,,,,,1,1,1,0,4,3,1,2,0,1,1,0,1,0,4,5,4,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,,,,,,,,,,1,2,,,,,,,,,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,23,(空),(空),(空),0,0,1,0,0,0,0,0,0,0,0,0,6
3,2024/11/21 18:59:42,103秒,1,2,1,,,,,,,1,0,1,0,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,23,(空),(空),(空),0,0,1,0,0,0,0,0,0,0,0,0,6
4,2024/11/21 19:01:18,42秒,1,1,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,
5,2024/11/21 19:01:22,248秒,1,2,1,,,,,,,1,0,0,1,5,3,1,4,0,1,0,0,1,1,4,5,5,0,0,1,1,0,0,0,0,0,0,1,0,0,,,,,,1,0,0,0,,,,,,1,2,,,,,,,,,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,17,(空),(空),(空),0,0,1,0,0,0,0,0,0,0,0,0,6
6,2024/11/21 19:03:57,214秒,1,2,1,,,,,,,1,1,1,0,4,3,1,2,0,1,1,0,1,0,4,5,5,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,,,,,,2,2,,,,,,,,,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,17,(空),(空),(空),0,1,1,0,0,0,0,0,0,1,0,0,6
7,2024/11/21 19:04:20,24秒,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024/11/21 19:05:02,106秒,1,2,1,,,,,,,1,0,1,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,23,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
9,2024/11/21 19:06:04,142秒,1,2,1,,,,,,,1,0,0,0,4,3,1,1,0,0,0,0,1,0,4,5,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,1,2,,,,,,,,,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,23,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
10,2024/11/21 19:06:29,181秒,1,2,1,,,,,,,1,0,0,0,4,3,1,1,0,0,0,1,0,0,4,5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,1,0,0,0,,,,,,1,2,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,23,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
11,2024/11/21 19:09:54,127秒,1,2,1,,,,,,,1,1,1,0,4,3,1,2,0,0,1,0,1,0,4,5,5,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,,,,,,2,2,,,,,,,,,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,17,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
12,2024/11/21 19:10:23,319秒,1,2,1,,,,,,,1,1,0,0,4,3,1,2,0,1,0,1,1,0,3,5,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,,,,,,1,2,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,17,(空),(空),(空),0,0,1,0,0,0,0,0,0,0,0,0,6
